"entity_id"	"core_entity_id"	"core_consensus_annotation"
"EW023_RS04465"	"g005810"	"ABC transporter permease"
"EW023_RS04470"	"g009998"	"ABC transporter substrate-binding protein"
"EW023_RS04475"	"g006222"	"response regulator"
"EW023_RS04480"	"g010490"	"sensor histidine kinase"
"EW023_RS04485"	"g010950"	"L-malate permease"
"EW023_RS04490"	"g000883"	"NADP-dependent oxaloacetate-decarboxylating malate dehydrogenase"
"EW023_RS04495"	"g005201"	"zinc-dependent alcohol dehydrogenase family protein"
"EW023_RS04500"	"g012884"	"acid phosphatase AphA"
"EW023_RS04505"	"g010504"	"ClC family H(+)/Cl(-) exchange transporter"
"EW023_RS04510"	"g006442"	"hypothetical protein"
"EW023_RS04515"	"g009778"	"AI-2E family transporter"
"EW023_RS04520"	"g006146"	"JAB domain-containing protein"
"EW023_RS04525"	"g013047"	"gamma-glutamyl-gamma-aminobutyrate hydrolase family protein"
"EW023_RS04530"	"g006300"	"redox-sensing transcriptional repressor Rex"
"EW023_RS04535"	"g007837"	"DUF1831 domain-containing protein"
"EW023_RS04540"	"g009844"	"cysteine desulfurase"
"EW023_RS04545"	"g000509"	"ribose-phosphate diphosphokinase"
"EW023_RS04550"	"g002900"	"CYTH domain-containing protein"
"EW023_RS04555"	"g002684"	"GTP pyrophosphokinase family protein"
"EW023_RS04560"	"g012344"	"NAD kinase"
"EW023_RS04565"	"g011984"	"RluA family pseudouridine synthase"
"EW023_RS04570"	"g005314"	"phosphate acetyltransferase"
"EW023_RS04575"	"g001169"	"bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG"
"EW023_RS04580"	"g001209"	"hypothetical protein"
"EW023_RS04585"	"g000885"	"ABC transporter ATP-binding protein"
"EW023_RS04590"	"g001296"	"ABC transporter permease/substrate-binding protein"
"EW023_RS04595"	"g005348"	"GMP reductase"
"EW023_RS04605"	"g002887"	"xanthine phosphoribosyltransferase"
"EW023_RS04610"	"g009323"	"purine permease"
"EW023_RS04615"	"g005451"	"FAD:protein FMN transferase"
"EW023_RS04620"	"g009067"	"4-oxalocrotonate tautomerase"
"EW023_RS04625"	"g006641"	"thymidine kinase"
"EW023_RS04630"	"g000936"	"peptide chain release factor 1"
"EW023_RS04635"	"g012325"	"peptide chain release factor N(5)-glutamine methyltransferase"
"EW023_RS04640"	"g006546"	"threonylcarbamoyl-AMP synthase"
"EW023_RS04645"	"g007237"	"GNAT family N-acetyltransferase"
"EW023_RS04650"	"g000872"	"serine hydroxymethyltransferase"
"EW023_RS04655"	"g011618"	"nucleoid-associated protein"
"EW023_RS04660"	"g006457"	"lysozyme family protein"
"EW023_RS04665"	"g010292"	"ABC transporter ATP-binding protein"
"EW023_RS04670"	"g000976"	"high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG"
"EW023_RS04675"	"g010836"	"NADH oxidase"
"EW023_RS04680"	"g002336"	"L-lactate dehydrogenase"
"EW023_RS04685"	"g001046"	"DNA topoisomerase (ATP-hydrolyzing) subunit A"
"EW023_RS04690"	"g012794"	"sortase"
"EW023_RS04695"	"g003352"	"VOC family protein"
"EW023_RS04700"	"g014636"	"None"
"EW023_RS04705"	"g003293"	"hypothetical protein"
"EW023_RS04710"	"g005551"	"diacylglycerol kinase family lipid kinase"
"EW023_RS04715"	"g001226"	"hemolysin III family protein"
"EW023_RS04720"	"g007299"	"DUF1836 domain-containing protein"
"EW023_RS04725"	"g002469"	"ribosome biogenesis GTPase YlqF"
"EW023_RS04730"	"g002516"	"ribonuclease HII"
"EW023_RS04735"	"g012345"	"DNA-protecting protein DprA"
"EW023_RS04740"	"g004508"	"type I DNA topoisomerase"
"EW023_RS04745"	"g001454"	"LysR family transcriptional regulator substrate-binding protein"
"EW023_RS04750"	"g000007"	"LysR family transcriptional regulator"
"EW023_RS04760"	"g005324"	"D-lactate dehydrogenase"
"EW023_RS04765"	"g006223"	"DNA-binding protein"
"EW023_RS04770"	"g012953"	"DUF3307 domain-containing protein"
"EW023_RS04775"	"g004972"	"methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO"
"EW023_RS04780"	"g000051"	"oxaloacetate decarboxylase subunit alpha"
"EW023_RS04785"	"g003615"	"membrane protein"
"EW023_RS04790"	"g000757"	"biotin/lipoyl-binding protein"
"EW023_RS04795"	"g009836"	"sodium ion-translocating decarboxylase subunit beta"
"EW023_RS04800"	"g012090"	"triphosphoribosyl-dephospho-CoA synthase CitG"
"EW023_RS04805"	"g013048"	"GntR family transcriptional regulator"
"EW023_RS04810"	"g010752"	"CitMHS family transporter"
"EW023_RS04815"	"g003589"	"hypothetical protein"
"EW023_RS04820"	"g000051"	"oxaloacetate decarboxylase subunit alpha"
"EW023_RS04825"	"g009864"	"sodium ion-translocating decarboxylase subunit beta"
"EW023_RS04830"	"g008102"	"citrate lyase acyl carrier protein"
"EW023_RS04835"	"g001123"	"citrate (pro-3S)-lyase subunit beta"
"EW023_RS04840"	"g000471"	"citrate lyase subunit alpha"
"EW023_RS04845"	"g006595"	"citrate lyase holo-[acyl-carrier protein] synthase"
"EW023_RS04850"	"g000051"	"oxaloacetate decarboxylase subunit alpha"
"EW023_RS04855"	"g005194"	"[citrate (pro-3S)-lyase] ligase"
"EW023_RS04860"	"g007059"	"hypothetical protein"
"EW023_RS04865"	"g010009"	"tyrosine recombinase XerS"
"EW023_RS04870"	"g013029"	"helix-turn-helix transcriptional regulator"
"EW023_RS04875"	"g000994"	"signal recognition particle protein"
"EW023_RS04880"	"g003541"	"putative DNA-binding protein"
"EW023_RS04885"	"g002539"	"transcriptional regulator LldR"
"EW023_RS04890"	"g010689"	"hypothetical protein"
"EW023_RS04895"	"g000992"	"glutamine-hydrolyzing GMP synthase"
"EW023_RS04900"	"g009516"	"aminoacyltransferase"
"EW023_RS04905"	"g010457"	"ABC-F family ATP-binding cassette domain-containing protein"
"EW023_RS04910"	"g006705"	"membrane protein"
"EW023_RS04915"	"g012186"	"pyridoxamine kinase"
"EW023_RS04920"	"g009366"	"PLP-dependent aminotransferase family protein"
"EW023_RS04930"	"g007894"	"hypothetical protein"
"EW023_RS04935"	"g010444"	"cardiolipin synthase"
"EW023_RS04940"	"g000979_1"	"formate--tetrahydrofolate ligase"
"EW023_RS04945"	"g002298"	"lipoate--protein ligase"
"EW023_RS04950"	"g002369"	"NAD-dependent deacetylase"
"EW023_RS04955"	"g012456"	"protein-ADP-ribose hydrolase"
"EW023_RS04960"	"g003562"	"glycine cleavage system protein H"
"EW023_RS04965"	"g011512"	"LLM class flavin-dependent oxidoreductase"
"EW023_RS04970"	"g001920"	"NADH-dependent flavin oxidoreductase"
"EW023_RS04975"	"g012264"	"lipoate--protein ligase family protein"
"EW023_RS04980"	"g006115"	"phosphopantothenate--cysteine ligase"
"EW023_RS04985"	"g006767"	"phosphopantothenoylcysteine decarboxylase"
"EW023_RS04990"	"g006642"	"ECF transporter S component"
"EW023_RS04995"	"g010299"	"phospho-sugar mutase"
"EW023_RS05000"	"g011697"	"ABC transporter permease"
"EW023_RS05005"	"g011248"	"ABC transporter permease"
"EW023_RS05010"	"g010505"	"ABC transporter ATP-binding protein"
"EW023_RS05015"	"g005195_1"	"BMP family ABC transporter substrate-binding protein"
"EW023_RS05020"	"g007570"	"cytidine deaminase"
"EW023_RS05025"	"g006533"	"class I SAM-dependent methyltransferase"
"EW023_RS05030"	"g011904"	"type I pantothenate kinase"
"EW023_RS05035"	"g008609"	"30S ribosomal protein S20"
"EW023_RS05040"	"g010989"	"HAMP domain-containing histidine kinase"
"EW023_RS05045"	"g006176"	"response regulator transcription factor"
"EW023_RS05050"	"g011183"	"M1 family metallopeptidase"
"EW023_RS05055"	"g008828"	"hypothetical protein"
"EW023_RS05060"	"g006264"	"phosphate signaling complex protein PhoU"
"EW023_RS05065"	"g001138"	"phosphate ABC transporter ATP-binding protein"
"EW023_RS05070"	"g001138"	"phosphate ABC transporter ATP-binding protein"
"EW023_RS05075"	"g012071"	"phosphate ABC transporter permease PstA"
"EW023_RS05080"	"g011811"	"phosphate ABC transporter permease subunit PstC"
"EW023_RS05085"	"g012187"	"phosphate ABC transporter substrate-binding protein PstS family protein"
"EW023_RS05090"	"g010990"	"23S rRNA methyltransferase"
"EW023_RS05095"	"g012581"	"inositol monophosphatase family protein"
"EW023_RS05100"	"g008292"	"UPF0223 family protein"
"EW023_RS05105"	"g003376"	"transcriptional regulator Spx"
"EW023_RS05110"	"g011832"	"bifunctional riboflavin kinase/FAD synthetase"
"EW023_RS05115"	"g012091"	"tRNA pseudouridine(55) synthase TruB"
"EW023_RS05120"	"g010915"	"DUF2130 domain-containing protein"
"EW023_RS05125"	"g011698"	"aromatic acid exporter family protein"
"EW023_RS05130"	"g006526"	"restriction endonuclease subunit S"
"EW023_RS05135"	"g011165"	"FtsX-like permease family protein"
"EW023_RS05140"	"g013019"	"ABC transporter ATP-binding protein"
"EW023_RS05145"	"g006778"	"TetR/AcrR family transcriptional regulator"
"EW023_RS05150"	"g006316"	"GntR family transcriptional regulator"
"EW023_RS05155"	"g002993_1"	"Asp23/Gls24 family envelope stress response protein"
"EW023_RS05160"	"g003964_2"	"CsbD family protein"
"EW023_RS05165"	"g002993_2"	"Asp23/Gls24 family envelope stress response protein"
"EW023_RS05170"	"g009041"	"DUF2273 domain-containing protein"
"EW023_RS05175"	"g006458"	"alkaline shock response membrane anchor protein AmaP"
"EW023_RS05180"	"g003820_1"	"GlsB/YeaQ/YmgE family stress response membrane protein"
"EW023_RS05185"	"g004494"	"DNA helicase PcrA"
"EW023_RS05190"	"g010970"	"sodium:alanine symporter family protein"
"EW023_RS05195"	"g009486"	"cation diffusion facilitator family transporter"
"EW023_RS05200"	"g012666"	"CAMP factor pore-forming toxin Cfa"
"EW023_RS05205"	"g012346"	"amino acid ABC transporter substrate-binding protein"
"EW023_RS05210"	"g006376"	"amino acid ABC transporter ATP-binding protein"
"EW023_RS05215"	"g006317"	"amino acid ABC transporter permease"
"EW023_RS05220"	"g000769"	"phnA family protein"
"EW023_RS05225"	"g004601"	"glutamine--fructose-6-phosphate transaminase (isomerizing)"
"EW023_RS05230"	"g006706"	"signal peptidase I"
"EW023_RS05235"	"g010547"	"pyruvate kinase"
"EW023_RS05240"	"g001081"	"ATP-dependent 6-phosphofructokinase"
"EW023_RS05245"	"g011112"	"DNA polymerase III subunit alpha"
"EW023_RS05250"	"g003457"	"GntR family transcriptional regulator"
"EW023_RS05255"	"g000239"	"peptidase domain-containing ABC transporter"
"EW023_RS05260"	"g012596"	"hypothetical protein"
"EW023_RS05265"	"g006443"	"TVP38/TMEM64 family protein"
"EW023_RS05275"	"g006425"	"DUF3862 domain-containing protein"
"EW023_RS05280"	"g010031"	"glycogen/starch/alpha-glucan family phosphorylase"
"EW023_RS05285"	"g010575"	"4-alpha-glucanotransferase"
"EW023_RS05290"	"g011409"	"LacI family transcriptional regulator"
"EW023_RS05295"	"g009440"	"extracellular solute-binding protein"
"EW023_RS05300"	"g010853"	"sugar ABC transporter permease"
"EW023_RS05305"	"g012347"	"sugar ABC transporter permease"
"EW023_RS05310"	"g000144"	"LacI family transcriptional regulator"
"EW023_RS05315"	"g012441"	"maltodextrose utilization protein MalA"
"EW023_RS05320"	"g012220"	"sugar ABC transporter permease"
"EW023_RS05325"	"g010998"	"sugar ABC transporter permease"
"EW023_RS05330"	"g010074"	"cyclomaltodextrin glucanotransferase"
"EW023_RS05335"	"g010312"	"alpha-glycosidase"
"EW023_RS05340"	"g009401"	"extracellular solute-binding protein"
"EW023_RS05345"	"g001768"	"hypothetical protein"
"EW023_RS05350"	"g005349"	"alpha/beta hydrolase"
"EW023_RS05355"	"g009425"	"D-alanyl-lipoteichoic acid biosynthesis protein DltD"
"EW023_RS05360"	"g008564"	"D-alanine--poly(phosphoribitol) ligase subunit DltC"
"EW023_RS05365"	"g009413"	"D-alanyl-lipoteichoic acid biosynthesis protein DltB"
"EW023_RS05370"	"g010496"	"D-alanine--poly(phosphoribitol) ligase subunit DltA"
"EW023_RS05375"	"g009250"	"teichoic acid D-Ala incorporation-associated protein DltX"
"EW023_RS05380"	"g000953"	"excinuclease ABC subunit B"
"EW023_RS05385"	"g010057"	"ABC transporter permease subunit"
"EW023_RS05390"	"g000004"	"amino acid ABC transporter ATP-binding protein"
"EW023_RS05395"	"g010806"	"PTS sugar transporter subunit IIC"
"EW023_RS05400"	"g007254"	"DUF3284 domain-containing protein"
"EW023_RS05405"	"g007913"	"PTS lactose/cellobiose transporter subunit IIA"
"EW023_RS05410"	"g000117"	"PTS sugar transporter subunit IIB"
"EW023_RS05415"	"g010131"	"BglG family transcription antiterminator"
"EW023_RS05420"	"g009931"	"DUF871 domain-containing protein"
"EW023_RS05425"	"g010755"	"glycoside hydrolase family 1 protein"
"EW023_RS05430"	"g006085"	"nicotinamide riboside transporter PnuC"
"EW023_RS05435"	"g009221"	"hypothetical protein"
"EW023_RS05440"	"g004127"	"GTPase ObgE"
"EW023_RS05445"	"g004110"	"DUF4044 domain-containing protein"
"EW023_RS05450"	"g014637"	"None"
"EW023_RS05450"	"g014638"	"None"
"EW023_RS05455"	"g012873"	"rRNA pseudouridine synthase"
"EW023_RS05460"	"g007710"	"thioesterase family protein"
"EW023_RS05465"	"g009525"	"MFS transporter"
"EW023_RS05470"	"g010596"	"DUF1846 domain-containing protein"
"EW023_RS05475"	"g007496"	"PaaI family thioesterase"
"EW023_RS05480"	"g014639"	"None"
"EW023_RS05485"	"g010227"	"recombinase family protein"
"EW023_RS05490"	"g004078"	"hypothetical protein"
"EW023_RS05500"	"g003344"	"sigma-70 family RNA polymerase sigma factor"
"EW023_RS05505"	"g014640"	"None"
"EW023_RS05510"	"g004953"	"MATE family efflux transporter"
"EW023_RS05515"	"g010619"	"ABC transporter ATP-binding protein"
"EW023_RS05520"	"g012876"	"energy-coupling factor transporter transmembrane protein EcfT"
"EW023_RS05525"	"g006580"	"MptD family putative ECF transporter S component"
"EW023_RS05530"	"g004639"	"ABC transporter ATP-binding protein"
"EW023_RS05535"	"g004629"	"ABC transporter ATP-binding protein"
"EW023_RS05540"	"g006407"	"TetR/AcrR family transcriptional regulator"
"EW023_RS05545"	"g003508"	"plasmid mobilization relaxosome protein MobC"
"EW023_RS05550"	"g004994"	"relaxase/mobilization nuclease domain-containing protein"
"EW023_RS05555"	"g002717"	"hypothetical protein"
"EW023_RS05560"	"g000456_1"	"hypothetical protein"
"EW023_RS05565"	"g010353"	"group II intron reverse transcriptase/maturase"
"EW023_RS05570"	"g010199"	"DUF4368 domain-containing protein"
"EW023_RS05575"	"g008406"	"hypothetical protein"
"EW023_RS05580"	"g008640"	"hypothetical protein"
"EW023_RS05585"	"g012251"	"ParB/RepB/Spo0J family partition protein"
"EW023_RS05590"	"g011660"	"plasmid recombination protein"
"EW023_RS05595"	"g011387"	"AAA family ATPase"
"EW023_RS05605"	"g007379"	"sigma-70 family RNA polymerase sigma factor"
"EW023_RS05610"	"g006928"	"sigma-70 family RNA polymerase sigma factor"
"EW023_RS05615"	"g008919"	"hypothetical protein"
"EW023_RS05625"	"g004046"	"conjugal transfer protein"
"EW023_RS05630"	"g002044"	"tetracycline resistance ribosomal protection protein Tet(M)"
"EW023_RS05635"	"g007669"	"TnpV protein"
"EW023_RS05640"	"g000456_2"	"CHAP domain-containing protein"
"EW023_RS05645"	"g010482"	"divergent AAA domain protein"
"EW023_RS05650"	"g004649"	"DNA topoisomerase III"
"EW023_RS05655"	"g004497"	"DUF4366 domain-containing protein"
"EW023_RS05660"	"g003849"	"hypothetical protein"
"EW023_RS05665"	"g000456_2"	"CHAP domain-containing protein"
"EW023_RS05670"	"g005137"	"DUF87 domain-containing protein"
"EW023_RS05675"	"g003410"	"PrgI family protein"
"EW023_RS05680"	"g003777"	"hypothetical protein"
"EW023_RS05685"	"g005679"	"hypothetical protein"
"EW023_RS05690"	"g008766"	"conjugative transfer protein"
"EW023_RS05695"	"g003630"	"single-stranded DNA-binding protein"
"EW023_RS05700"	"g014641"	"None"
"EW023_RS05705"	"g004615"	"type IV secretory system conjugative DNA transfer family protein"
"EW023_RS05710"	"g003122"	"PcfB family protein"
"EW023_RS05715"	"g005713"	"ATP-binding protein"
"EW023_RS05720"	"g005877"	"replication initiator protein A"
"EW023_RS05725"	"g003726"	"hypothetical protein"
"EW023_RS05730"	"g004065"	"hypothetical protein"
"EW023_RS05735"	"g002093"	"23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD"
"EW023_RS05740"	"g010659"	"LCP family protein"
"EW023_RS05745"	"g007016"	"shikimate kinase"
"EW023_RS05750"	"g009300"	"3-phosphoshikimate 1-carboxyvinyltransferase"
"EW023_RS05755"	"g011658"	"YihY/virulence factor BrkB family protein"
"EW023_RS05760"	"g012221"	"methionyl aminopeptidase"
"EW023_RS05765"	"g009324"	"CBS domain-containing protein"
"EW023_RS05770"	"g006779"	"GNAT family N-acetyltransferase"
"EW023_RS05780"	"g014642"	"None"
"EW023_RS05790"	"g010234"	"glycoside hydrolase"
"EW023_RS05795"	"g012508"	"HAD family hydrolase"
"EW023_RS05800"	"g012328"	"SDR family oxidoreductase"
"EW023_RS05805"	"g009932"	"mannonate dehydratase"
"EW023_RS05810"	"g010769"	"glucuronate isomerase"
"EW023_RS05815"	"g006430"	"bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase"
"EW023_RS05820"	"g006199"	"FadR family transcriptional regulator"
"EW023_RS05825"	"g010235"	"beta-glucuronidase"
"EW023_RS05830"	"g011373"	"sugar kinase"
"EW023_RS05835"	"g010485"	"glucuronide permease"
"EW023_RS05840"	"g004178"	"UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
"EW023_RS05845"	"g000432"	"methionine adenosyltransferase"
"EW023_RS05850"	"g005149"	"internalin"
"EW023_RS05855"	"g011777"	"bifunctional biotin--[acetyl-CoA-carboxylase] synthetase/biotin operon repressor"
"EW023_RS05860"	"g003745"	"DUF3272 domain-containing protein"
"EW023_RS05865"	"g000960"	"DNA polymerase III subunit gamma/tau"
"EW023_RS05870"	"g003089"	"GAF domain-containing protein"
"EW023_RS05875"	"g012470"	"PrsW family intramembrane metalloprotease"
"EW023_RS05880"	"g003776"	"DUF1294 domain-containing protein"
"EW023_RS05885"	"g000581"	"uridine kinase"
"EW023_RS05890"	"g009958"	"DEAD/DEAH box helicase"
"EW023_RS05895"	"g009348"	"polysaccharide deacetylase family protein"
"EW023_RS05900"	"g010698"	"NADP-dependent glyceraldehyde-3-phosphate dehydrogenase"
"EW023_RS05905"	"g000975"	"phosphoenolpyruvate-protein phosphotransferase PtsI"
"EW023_RS05910"	"g003769"	"phosphocarrier protein HPr"
"EW023_RS05915"	"g008738"	"redoxin NrdH"
"EW023_RS05920"	"g010066"	"class 1b ribonucleoside-diphosphate reductase subunit alpha"
"EW023_RS05925"	"g011678"	"class 1b ribonucleoside-diphosphate reductase subunit beta"
"EW023_RS05930"	"g010982"	"chloride channel protein"
"EW023_RS05945"	"g013049"	"CPBP family intramembrane metalloprotease"
"EW023_RS05950"	"g005927"	"DUF3169 family protein"
"EW023_RS05955"	"g001779"	"helix-turn-helix transcriptional regulator"
"EW023_RS05960"	"g005101"	"alanine--tRNA ligase"
"EW023_RS05965"	"g005188_1"	"peptidylprolyl isomerase PrsA"
"EW023_RS05970"	"g012990"	"O-methyltransferase"
"EW023_RS05975"	"g009621"	"OFA family MFS transporter"
"EW023_RS05980"	"g004609"	"oligoendopeptidase F"
"EW023_RS05985"	"g011668"	"competence protein CoiA"
"EW023_RS05990"	"g012954"	"rRNA pseudouridine synthase"
"EW023_RS05995"	"g013007"	"glucosamine-6-phosphate deaminase"
"EW023_RS06000"	"g005237"	"tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA"
"EW023_RS06005"	"g009526"	"DUF3114 domain-containing protein"
"EW023_RS06015"	"g001737"	"hypothetical protein"
"EW023_RS06020"	"g008666"	"hypothetical protein"
"EW023_RS06025"	"g000304"	"superoxide dismutase [Mn]"
"EW023_RS06030"	"g002282"	"DNA polymerase III subunit delta"
"EW023_RS06035"	"g010035"	"DNA internalization-related competence protein ComEC/Rec2"
"EW023_RS06040"	"g006237"	"ComEA family DNA-binding protein"
"EW023_RS06045"	"g012425"	"1-acyl-sn-glycerol-3-phosphate acyltransferase"
"EW023_RS06050"	"g012651"	"tRNA1(Val) (adenine(37)-N6)-methyltransferase"
"EW023_RS06055"	"g008293"	"GIY-YIG nuclease family protein"
"EW023_RS06060"	"g010128"	"potassium transporter Kup"
"EW023_RS06065"	"g004715"	"DEAD/DEAH box helicase"
"EW023_RS06070"	"g000991"	"peptide chain release factor 3"
"EW023_RS06080"	"g013050"	"TIGR02206 family membrane protein"
"EW023_RS06085"	"g010782"	"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase"
"EW023_RS06090"	"g011306"	"D-alanine--D-alanine ligase"
"EW023_RS06095"	"g002853"	"recombination protein RecR"
"EW023_RS06100"	"g003995"	"hypothetical protein"
"EW023_RS06105"	"g012635"	"formate dehydrogenase"
"EW023_RS06110"	"g006780"	"hypothetical protein"
"EW023_RS06115"	"g006888"	"transcription repressor NadR"
"EW023_RS06120"	"g000556"	"2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase"
"EW023_RS06125"	"g011812"	"dihydroorotate oxidase"
"EW023_RS06130"	"g010195"	"cadmium-translocating P-type ATPase"
"EW023_RS06135"	"g000202"	"DNA-binding protein HU-alpha"
"EW023_RS06140"	"g006553"	"YpmS family protein"
"EW023_RS06145"	"g012222"	"SGNH/GDSL hydrolase family protein"
"EW023_RS06150"	"g012326"	"DegV family protein"
"EW023_RS06155"	"g002354"	"LPXTG cell wall anchor domain-containing protein"
"EW023_RS06160"	"g010360"	"DNA repair protein RecN"
"EW023_RS06165"	"g007131"	"arginine repressor"
"EW023_RS06170"	"g012389"	"TlyA family RNA methyltransferase"
"EW023_RS06175"	"g012152"	"polyprenyl synthetase family protein"
"EW023_RS06180"	"g001750"	"exodeoxyribonuclease VII small subunit"
"EW023_RS06185"	"g010916"	"exodeoxyribonuclease VII large subunit"
"EW023_RS06190"	"g001136"	"bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD"
"EW023_RS06195"	"g010322"	"phospho-sugar mutase"
"EW023_RS06200"	"g010739"	"deoxyribodipyrimidine photo-lyase"
"EW023_RS06205"	"g000004"	"amino acid ABC transporter ATP-binding protein"
"EW023_RS06210"	"g006116"	"amino acid ABC transporter permease"
"EW023_RS06215"	"g008635"	"YkuJ family protein"
"EW023_RS06220"	"g000452"	"ATP-dependent chaperone ClpB"
"EW023_RS06225"	"g003230"	"NUDIX hydrolase"
"EW023_RS06230"	"g008145"	"DUF1827 family protein"
"EW023_RS06235"	"g005083"	"isoleucine--tRNA ligase"
"EW023_RS06240"	"g012742"	"DivIVA domain-containing protein"
"EW023_RS06245"	"g012560"	"RNA-binding protein"
"EW023_RS06250"	"g008468"	"YggT family protein"
"EW023_RS06255"	"g006257"	"cell division protein SepF"
"EW023_RS06260"	"g002685"	"YggS family pyridoxal phosphate-dependent enzyme"
"EW023_RS06265"	"g001950"	"cell division protein FtsZ"
"EW023_RS06270"	"g010850"	"cell division protein FtsA"
"EW023_RS06275"	"g009747"	"cell division protein FtsQ/DivIB"
"EW023_RS06280"	"g009969"	"UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase"
"EW023_RS06285"	"g010866"	"UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"
"EW023_RS06290"	"g008488"	"DUF3165 family protein"
"EW023_RS06295"	"g000965"	"ribosome-dependent GTPase TypA"
"EW023_RS06300"	"g007571"	"rhodanese-like domain-containing protein"
"EW023_RS06305"	"g011637"	"ROK family glucokinase"
"EW023_RS06310"	"g008874"	"YqgQ family protein"
"EW023_RS06315"	"g006862"	"DNA starvation/stationary phase protection protein"
"EW023_RS06320"	"g006393"	"prepilin peptidase"
"EW023_RS06325"	"g004428"	"23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN"
"EW023_RS06330"	"g002750"	"YutD family protein"
"EW023_RS06335"	"g011619"	"LacI family transcriptional regulator"
"EW023_RS06340"	"g011338"	"PDZ domain-containing protein"
"EW023_RS06345"	"g007017"	"pantetheine-phosphate adenylyltransferase"
"EW023_RS06350"	"g006800"	"16S rRNA (guanine(966)-N(2))-methyltransferase RsmD"
"EW023_RS06355"	"g002326"	"aspartate--ammonia ligase"
"EW023_RS06360"	"g011731"	"carbamate kinase"
"EW023_RS06365"	"g010951"	"Sapep family Mn(2+)-dependent dipeptidase"
"EW023_RS06370"	"g010577"	"YfcC family protein"
"EW023_RS06375"	"g000507"	"ornithine carbamoyltransferase"
"EW023_RS06380"	"g003309"	"GNAT family N-acetyltransferase"
"EW023_RS06385"	"g004218"	"arginine deiminase"
"EW023_RS06390"	"g006147"	"Crp/Fnr family transcriptional regulator"
"EW023_RS06395"	"g007114"	"arginine regulator"
"EW023_RS06405"	"g004452"	"MmcQ/YjbR family DNA-binding protein"
"EW023_RS06410"	"g004638"	"sensor histidine kinase"
"EW023_RS06415"	"g005985"	"response regulator"
"EW023_RS06420"	"g000705"	"peptide-methionine (R)-S-oxide reductase MsrB"
"EW023_RS06425"	"g006406"	"TlpA family protein disulfide reductase"
"EW023_RS06430"	"g012977"	"thiol-disulfide oxidoreductase-associated membrane protein CcdA2"
"EW023_RS06435"	"g011833"	"magnesium transporter CorA family protein"
"EW023_RS06440"	"g011679"	"Gfo/Idh/MocA family oxidoreductase"
"EW023_RS06445"	"g003680"	"CRISPR-associated endonuclease Cas2"
"EW023_RS06450"	"g004202"	"CRISPR-associated helicase/endonuclease Cas3"
"EW023_RS06455"	"g005098"	"valine--tRNA ligase"
"EW023_RS06460"	"g002936"	"AAA family ATPase"
"EW023_RS06465"	"g014643"	"None"
"EW023_RS06475"	"g007523"	"hypothetical protein"
"EW023_RS06480"	"g008469"	"DUF1912 family protein"
"EW023_RS06490"	"g009820"	"site-specific integrase"
"EW023_RS06495"	"g007973"	"DUF771 domain-containing protein"
"EW023_RS06505"	"g012727"	"LPXTG cell wall anchor domain-containing protein"
"EW023_RS06510"	"g006712"	"hypothetical protein"
"EW023_RS06515"	"g010886"	"CHAP domain-containing protein"
"EW023_RS06520"	"g009252"	"putative holin-like toxin"
"EW023_RS06525"	"g006647"	"hypothetical protein"
"EW023_RS06535"	"g010029"	"DUF87 domain-containing protein"
"EW023_RS06540"	"g007456"	"conjugal transfer protein"
"EW023_RS06545"	"g008361"	"hypothetical protein"
"EW023_RS06550"	"g011734"	"conjugal transfer protein"
"EW023_RS06555"	"g007083"	"hypothetical protein"
"EW023_RS06565"	"g008336"	"hypothetical protein"
"EW023_RS06575"	"g007654"	"hypothetical protein"
"EW023_RS06580"	"g009459"	"XRE family transcriptional regulator"
"EW023_RS06585"	"g010372"	"cell division protein FtsK"
"EW023_RS06590"	"g007217"	"hypothetical protein"
"EW023_RS06595"	"g008123"	"hypothetical protein"
"EW023_RS06600"	"g011061"	"LPXTG cell wall anchor domain-containing protein"
"EW023_RS06605"	"g010037"	"LPXTG cell wall anchor domain-containing protein"
"EW023_RS06610"	"g007549"	"hypothetical protein"
"EW023_RS06615"	"g007301"	"thioredoxin family protein"
"EW023_RS06620"	"g007332"	"helix-turn-helix transcriptional regulator"
"EW023_RS06625"	"g007899"	"helix-turn-helix transcriptional regulator"
"EW023_RS06630"	"g007395"	"ImmA/IrrE family metallo-endopeptidase"
"EW023_RS06635"	"g007775"	"hypothetical protein"
